id,duration_sec
1,1072
2,555
3,462
4,245
5,671
6,574
7,860
8,1133
9,988
10,899
11,914
12,748
13,764
14,929
15,878
16,423
17,415
18,577
19,866
20,573
21,853
22,997
23,494
24,469
25,722
26,381
27,542
28,857
29,1503
30,1275
31,227
32,178
33,589
34,225
35,227
36,199
37,190
38,1250
39,628
40,236
41,170
42,228
43,200
44,244
45,197
46,261
47,252
48,238
49,197
50,202
51,203
52,201
53,220
54,185
55,200
56,246
57,212
58,183
59,187
60,237
61,211
62,181
63,243
64,183
65,196
66,240
67,196
68,197
69,200
70,211
71,237
72,189
73,258
74,633
75,200
76,306
77,193
78,210
79,239
80,223
81,193
82,331
83,332
84,335
85,330
86,348
87,345
88,343
89,286
90,365
91,532
92,482
93,1018
94,931
95,645
96,1316
97,385
98,297
99,393
100,378
101,295
102,355
103,231
104,270
105,429
106,253
107,373
108,303
109,358
110,309
111,327
112,333
113,293
114,353
115,414
116,420
117,286
118,410
119,345
120,393
121,245
122,352
123,320
124,269
125,262
126,204
127,349
128,414
129,288
130,328
131,213
132,318
133,281
134,329
135,410
136,280
137,378
138,320
139,314
140,282
141,350
142,243
143,318
144,304
145,404
146,326
147,274
148,282
149,328
150,508
151,358
152,304
153,321
154,299
155,209
156,412
157,269
158,296
159,298
160,354
161,1451
162,223
163,318
164,304
165,318
166,1118
167,979
168,1492
169,558
170,522
171,779
172,793
173,1276
174,505
175,538
176,1003
177,520
178,419
179,445
180,667
181,581
182,509
183,434
184,563
185,1180
186,270
187,547
188,1025
189,295
190,347
191,422
192,783
193,449
194,432
195,220
196,564
197,264
198,270
199,757
200,890
201,1403
202,614
203,685
204,866
205,841
206,1205
207,843
208,893
209,168
210,237
211,135
212,278
213,239
214,322
215,192
216,105
217,142
218,925
219,700
220,642
221,690
222,541
223,595
224,626
225,515
226,688
227,731
228,461
229,1139
230,576
231,1055
232,797
233,302
234,602
235,517
236,964
237,784
238,364
239,319
240,514
241,375
242,323
243,977
244,383
245,926
246,487
247,740
248,106
249,354
250,103
251,129
252,144
253,100
254,162
255,176
256,146
257,356
258,286
259,200
260,524
261,322
262,550
263,678
264,336
265,668
266,525
267,523
268,680
269,529
270,617
271,692
272,774
273,658
274,691
275,402
276,426
277,433
278,533
279,489
280,991
281,825
282,417
283,783
284,1262
285,625
286,632
287,678
288,596
289,369
290,675
291,548
292,819
293,688
294,1145
295,1249
296,575
297,566
298,523
299,977
300,331
301,198
302,281
303,349
304,247
305,212
306,932
307,767
308,572
309,607
310,980
311,943
312,726
313,686
314,93
315,100
316,243
317,453
318,1159
319,1037
320,996
321,892
322,985
323,1188
324,943
325,1110
326,984
327,962
328,1029
329,1080
330,543
331,560
332,555
333,553
334,1178
335,1208
336,873
337,737
338,706
339,1137
340,263
341,149
342,224
343,261
344,144
345,245
346,422
347,404
348,1113
349,521
350,675
351,1006
352,821
353,1044
354,822
355,937
356,738
357,631
358,928
359,552
360,188
361,257
362,304
363,466
364,491
365,618
366,400
367,357
368,342
369,361
370,372
371,517
372,450
373,599
374,533
375,436
376,882
377,1342
378,291
379,284
380,360
381,287
382,307
383,727
384,787
385,774
386,721
387,800
388,304
389,252
390,295
391,418
392,1015
393,778
394,1024
395,693
396,1204
397,839
398,823
399,931
400,729
401,389
402,331
403,890
404,631
405,208
406,331
407,250
408,206
409,162
410,240
411,232
412,310
413,169
414,279
415,236
416,315
417,161
418,437
419,194
420,282
421,268
422,222
423,574
424,1345
425,299
426,263
427,244
428,287
429,285
430,509
431,503
432,323
433,454
434,284
435,225
436,422
437,340
438,496
439,863
440,336
441,391
442,328
443,379
444,483
445,1100
446,586
447,763
448,633
449,459
450,516
451,504
452,1093
453,569
454,546
455,653
456,792
457,592
458,971
459,537
460,1185
461,1451
462,690
463,770
464,815
465,1021
466,1073
467,992
468,1030
469,754
470,761
471,642
472,1108
473,632
474,618
475,647
476,720
477,693
478,510
479,806
480,832
481,1298
482,886
483,993
484,458
485,979
486,407
487,476
488,472
489,617
490,816
491,832
492,661
493,180
494,164
495,236
496,357
497,160
498,183
499,260
500,173
501,287
502,229
503,185
504,220
505,762
506,584
507,573
508,458
509,490
510,480
511,604
512,1302
513,785
514,565
515,454
516,610
517,639
518,376
519,371
520,378
521,354
522,452
523,539
524,340
525,935
526,396
527,423
528,555
529,497
530,473
531,385
532,431
533,472
534,400
535,339
536,497
537,1035
538,982
539,846
540,986
541,982
542,1200
543,1008
544,1158
545,1017
546,455
547,499
548,734
549,349
550,518
551,411
552,345
553,573
554,503
555,397
556,486
557,427
558,563
559,479
560,631
561,637
562,831
563,1064
564,1125
565,879
566,766
567,926
568,992
569,1092
570,971
571,915
572,544
573,425
574,528
575,335
576,484
577,428
578,378
579,325
580,221
581,343
582,389
583,349
584,429
585,618
586,306
587,417
588,555
589,695
590,646
591,512
592,799
593,513
594,834
595,1386
596,876
597,1283
598,1213
599,685
